time,barcode,count
2023-08-01T00:00:00.000-06:00,394802,1
2023-08-01T00:00:00.000-06:00,416802,1
2023-08-01T00:00:00.000-06:00,417802,1
2023-08-01T00:00:00.000-06:00,444802,1
2023-08-01T00:00:00.000-06:00,446802,1
2023-08-01T00:00:00.000-06:00,508802,2
2023-08-01T00:00:00.000-06:00,560902,2
2023-08-01T00:00:00.000-06:00,577602,1
2023-08-01T00:00:00.000-06:00,579902,1
2023-08-01T00:00:00.000-06:00,580902,1
2023-08-01T00:00:00.000-06:00,643902,2
2023-08-01T00:00:00.000-06:00,649702,1
2023-08-01T00:00:00.000-06:00,670402,2
2023-08-01T00:00:00.000-06:00,686902,1
2023-08-01T00:00:00.000-06:00,706902,1
2023-08-01T00:00:00.000-06:00,707902,1
2023-08-01T00:00:00.000-06:00,716902,1
2023-08-01T00:00:00.000-06:00,734902,1
2023-08-01T00:00:00.000-06:00,745902,1
2023-08-01T00:00:00.000-06:00,759902,3
2023-08-01T00:00:00.000-06:00,760902,1
2023-08-01T00:00:00.000-06:00,780902,1
2023-08-01T00:00:00.000-06:00,95:300,1
2023-08-01T00:00:00.000-06:00,:30002,2
2023-08-01T00:00:00.000-06:00,:3:400,1
2023-08-02T00:00:00.000-06:00,2,117256
2023-08-02T00:00:00.000-06:00,3,675
2023-08-02T00:00:00.000-06:00,4,374
2023-08-02T00:00:00.000-06:00,5,17228
2023-08-02T00:00:00.000-06:00,6302,2
2023-08-02T00:00:00.000-06:00,17702,1
2023-08-02T00:00:00.000-06:00,112702,2
2023-08-02T00:00:00.000-06:00,141702,1
2023-08-02T00:00:00.000-06:00,142702,1
2023-08-02T00:00:00.000-06:00,178702,1
2023-08-02T00:00:00.000-06:00,205502,1
2023-08-02T00:00:00.000-06:00,267802,1
2023-08-02T00:00:00.000-06:00,307802,1
2023-08-02T00:00:00.000-06:00,37:500,1
2023-08-02T00:00:00.000-06:00,417802,1
2023-08-02T00:00:00.000-06:00,445802,1
2023-08-02T00:00:00.000-06:00,446802,1
2023-08-02T00:00:00.000-06:00,487802,1
2023-08-02T00:00:00.000-06:00,528802,1
2023-08-02T00:00:00.000-06:00,53:400,1
2023-08-02T00:00:00.000-06:00,555902,2
2023-08-02T00:00:00.000-06:00,560902,1
2023-08-02T00:00:00.000-06:00,580902,1
2023-08-02T00:00:00.000-06:00,587902,2
2023-08-02T00:00:00.000-06:00,611902,1
2023-08-02T00:00:00.000-06:00,643902,1
2023-08-02T00:00:00.000-06:00,669202,1
2023-08-02T00:00:00.000-06:00,670402,1
2023-08-02T00:00:00.000-06:00,670702,1
2023-08-02T00:00:00.000-06:00,672902,1
2023-08-02T00:00:00.000-06:00,686902,1
2023-08-02T00:00:00.000-06:00,706902,1
2023-08-02T00:00:00.000-06:00,707902,1
2023-08-02T00:00:00.000-06:00,715902,1
2023-08-02T00:00:00.000-06:00,716902,1
2023-08-02T00:00:00.000-06:00,745902,1
2023-08-02T00:00:00.000-06:00,759902,1
2023-08-02T00:00:00.000-06:00,760902,2
2023-08-02T00:00:00.000-06:00,780902,2
2023-08-02T00:00:00.000-06:00,880402,1
2023-08-03T00:00:00.000-06:00,2,118414
2023-08-03T00:00:00.000-06:00,3,620
2023-08-03T00:00:00.000-06:00,4,335
2023-08-03T00:00:00.000-06:00,5,17092
2023-08-03T00:00:00.000-06:00,1902,1
2023-08-03T00:00:00.000-06:00,6302,1
2023-08-03T00:00:00.000-06:00,112702,3
2023-08-03T00:00:00.000-06:00,140702,1
2023-08-03T00:00:00.000-06:00,225702,1
2023-08-03T00:00:00.000-06:00,307802,1
2023-08-03T00:00:00.000-06:00,309602,1
2023-08-03T00:00:00.000-06:00,369302,1
2023-08-03T00:00:00.000-06:00,417802,1
2023-08-03T00:00:00.000-06:00,460402,1
2023-08-03T00:00:00.000-06:00,471802,2
2023-08-03T00:00:00.000-06:00,487802,2
2023-08-03T00:00:00.000-06:00,528505,1
2023-08-03T00:00:00.000-06:00,545902,1
2023-08-03T00:00:00.000-06:00,555902,2
2023-08-03T00:00:00.000-06:00,643902,1
2023-08-03T00:00:00.000-06:00,669902,1
2023-08-03T00:00:00.000-06:00,672902,2
2023-08-03T00:00:00.000-06:00,687902,2
2023-08-03T00:00:00.000-06:00,707902,4
2023-08-03T00:00:00.000-06:00,716902,1
2023-08-03T00:00:00.000-06:00,734902,1
2023-08-03T00:00:00.000-06:00,745902,1
2023-08-03T00:00:00.000-06:00,760902,1
2023-08-03T00:00:00.000-06:00,780902,2
2023-08-03T00:00:00.000-06:00,798902,1
2023-08-03T00:00:00.000-06:00,880402,1
2023-08-04T00:00:00.000-06:00,2,112498
2023-08-04T00:00:00.000-06:00,3,642
2023-08-04T00:00:00.000-06:00,4,330
2023-08-04T00:00:00.000-06:00,5,17366
2023-08-04T00:00:00.000-06:00,112702,6
2023-08-04T00:00:00.000-06:00,145702,1
2023-08-04T00:00:00.000-06:00,244802,1
2023-08-04T00:00:00.000-06:00,285003,1
2023-08-04T00:00:00.000-06:00,328802,1
2023-08-04T00:00:00.000-06:00,335505,1
2023-08-04T00:00:00.000-06:00,344802,1
2023-08-04T00:00:00.000-06:00,399602,2
2023-08-04T00:00:00.000-06:00,444802,1
2023-08-04T00:00:00.000-06:00,445802,1
2023-08-04T00:00:00.000-06:00,486802,1
2023-08-04T00:00:00.000-06:00,518602,1
2023-08-04T00:00:00.000-06:00,579902,1
2023-08-04T00:00:00.000-06:00,594002,1
2023-08-04T00:00:00.000-06:00,614902,1
2023-08-04T00:00:00.000-06:00,616802,1
2023-08-04T00:00:00.000-06:00,643902,1
2023-08-04T00:00:00.000-06:00,65:400,1
2023-08-04T00:00:00.000-06:00,687902,1
2023-08-04T00:00:00.000-06:00,688702,1
2023-08-04T00:00:00.000-06:00,707902,2
